,ServiceNo,Operator,Direction,Category,OriginCode,DestinationCode,AM_Peak_Freq,AM_Offpeak_Freq,PM_Peak_Freq,PM_Offpeak_Freq,LoopDesc
0,118,GAS,1,CITY_LINK,65009,97009,7,Aug-15,11,Nov-15,
1,118,GAS,2,CITY_LINK,97009,65009,10,10-Dec,8,Oct-15,
2,118A,GAS,1,CITY_LINK,65199,96119,15,-,0,-,
3,118B,GAS,1,CITY_LINK,96111,65191,0,-,30,-,
4,119,GAS,1,CITY_LINK,65009,65009,12,18-Dec,14,15-17,Hougang St 21
5,12,GAS,1,CITY_LINK,77009,10499,9,Sep-14,9,Nov-13,
6,12,GAS,2,EXPRESS,10499,77009,10,Aug-15,11,Oct-14,
7,12e,GAS,1,EXPRESS,77009,10499,25,30,25,20-30,
8,12e,GAS,2,EXPRESS,10499,77009,25,20-30,25,20-30,
9,136,GAS,1,EXPRESS,54009,65009,13,Oct-13,12,15-19,
10,136,GAS,2,EXPRESS,65009,54009,13,Nov-16,10,17-20,
11,15,GAS,1,EXPRESS,77009,77009,7,Mar-13,10,13-16,Marine Parade Rd
12,15A,GAS,1,EXPRESS,77009,83109,13,110,0,-,Marine Parade Rd
13,17,GAS,1,EXPRESS,77009,84009,9,10-Dec,10,Nov-15,
14,17,GAS,2,EXPRESS,84009,77009,8,5-Dec,8,5-Dec,
15,17A,GAS,1,EXPRESS,84009,84591,12,Oct-46,16,22-24,Bedok Nth Dr
16,2,GAS,1,EXPRESS,99009,10499,10,Sep-16,13,14-18,
17,2,GAS,2,EXPRESS,10499,99009,10,Sep-17,10,Dec-18,
18,2A,GAS,1,EXPRESS,10499,85091,22,-,18,-,
19,3,GAS,1,EXPRESS,75009,65009,9,Sep-14,8,Dec-14,
20,3,GAS,2,EXPRESS,65009,75009,9,Sep-15,10,Dec-17,
21,34,GAS,1,EXPRESS,65009,65009,6,May-14,11,Dec-14,PTB2 Basement
22,34A,GAS,1,EXPRESS,65009,76059,31,26-39,0,00-00,PTB2 Basement
23,34B,GAS,1,EXPRESS,75359,75351,6,Apr-15,11,Nov-14,
24,354,GAS,1,EXPRESS,77009,77009,7,7-Sep,7,Aug-15,Jln Loyang Besar
25,358,GAS,1,EXPRESS,77009,77009,6,7-Aug,6,5-Oct,Pasir Ris Dr 4
26,359,GAS,1,EXPRESS,77009,77009,6,7-Oct,6,May-13,Pasir Ris St 11
27,36,GAS,1,EXPRESS,95129,95129,8,8-Nov,9,8-Dec,Tomlinson Rd
28,36A,GAS,1,EXPRESS,95129,9191,0,-,0,11-Dec,Tomlinson Rd
29,36B,GAS,1,EXPRESS,93049,93199,8,09-283,9,-,Tomlinson Rd
30,381,GAS,1,EXPRESS,65009,65009,11,10-Dec,11,Oct-15,Punggol East
31,382G,GAS,1,EXPRESS,65009,65009,9,8-Oct,9,8-Dec,Sumang Walk
32,382W,GAS,1,EXPRESS,65009,65009,9,8-Oct,9,8-Dec,Sumang Walk
33,386,GAS,1,EXPRESS,65009,65009,9,15-Oct,9,15-Jul,Punggol Ctrl
34,386A,GAS,1,EXPRESS,65009,65371,0,0-0,31,25-30,
35,3A,GAS,1,EXPRESS,75009,77331,0,Dec-75,22,12-124,
36,3B,GAS,1,EXPRESS,77289,77009,15,00-00,0,00-00,
37,403,GAS,1,EXPRESS,77009,77009,11,13-19,16,14-15,Pasir Ris Rd
38,43,GAS,1,EXPRESS,65009,94009,9,Aug-16,14,15-16,
39,43,GAS,2,EXPRESS,94009,65009,14,Oct-17,13,13-18,
40,43M,GAS,1,EXPRESS,65009,65009,8,Aug-17,9,13-16,S'goon Ctrl
41,518,GAS,1,EXPRESS,77009,77009,13,15-20,17,13-20,Bayfront Ave
42,518A,GAS,1,EXPRESS,77009,3519,30,-,0,-,
43,6,GAS,1,EXPRESS,77009,77009,7,Jul-17,7,8,Loyang Cres
44,62,GAS,1,EXPRESS,65009,65009,8,17-Aug,11,17-Dec,Sims Ave
45,62A,GAS,1,EXPRESS,65009,81089,0,00-00,28,28,Sims Ave
46,661,GAS,1,EXPRESS,78111,3391,20,-,0,-,
47,661,GAS,2,EXPRESS,3539,78119,15,-,0,-,
48,68,GAS,1,EXPRESS,77009,77009,15,15,15,15,Tampines Ctrl 1
49,82,GAS,1,EXPRESS,65009,65009,14,15-Dec,14,14-18,S'goon Ctrl
50,83,GAS,1,EXPRESS,65009,65009,11,Sep-14,10,Dec-16,Sengkang Sq
51,84,GAS,1,EXPRESS,65009,65009,10,10,10,Oct-15,Punggol Rd
52,85,GAS,1,EXPRESS,65009,59009,13,Oct-16,10,Nov-18,
53,85,GAS,2,EXPRESS,59009,65009,12,Oct-16,10,16-18,
54,85A,GAS,1,EXPRESS,59009,67441,12,Oct-15,9,Nov-18,
55,10,SBST,1,EXPRESS,75009,16009,8,Jun-17,12,Nov-18,
56,10,SBST,2,EXPRESS,16009,75009,10,Oct-16,11,Dec-20,
57,100,SBST,1,EXPRESS,66009,11009,9,Jul-17,10,Dec-24,
58,100,SBST,2,EXPRESS,11009,66009,7,Jun-13,10,13-15,
59,100A,SBST,1,EXPRESS,66009,81089,26,-,20,20-20,
60,101,SBST,1,EXPRESS,66009,66009,8,Jul-13,8,Aug-14,Buangkok Link
61,102,SBST,1,EXPRESS,64009,64009,10,Oct-13,11,Nov-15,Seletar Aerospace Avenue
62,103,SBST,1,EXPRESS,66009,59009,10,Sep-15,11,Oct-15,
63,103,SBST,2,EXPRESS,59009,66009,10,Sep-16,10,14-17,
64,105,SBST,1,EXPRESS,66009,28009,9,Jul-15,12,Nov-16,
65,105,SBST,2,EXPRESS,28009,66009,11,Aug-15,11,Dec-14,
66,105B,SBST,1,EXPRESS,28009,17179,14,-,0,-,
67,107,SBST,1,EXPRESS,64009,3239,8,Sep-17,13,17-17,
68,107,SBST,2,EXPRESS,3239,64009,14,Sep-16,9,9-Oct,
69,107M,SBST,1,FEEDER,64009,64009,14,Sep-17,14,13-14,Raffles Blvd
70,109,SBST,1,FEEDER,66009,99009,12,Aug-17,14,Nov-15,
71,109,SBST,2,FEEDER,99009,66009,12,Sep-17,11,13-19,
72,109A,SBST,1,FEEDER,66009,64611,0,-,28,15-26,
73,10e,SBST,1,FEEDER,85049,3217,11,-,0,-,
74,10e,SBST,2,FEEDER,3222,85041,0,-,10,-,
75,11,SBST,1,FEEDER,80009,80009,16,15-19,17,15-18,Rhu Cross
76,111,SBST,1,FEEDER,11009,11009,9,Sep-14,11,Oct-14,Temasek Ave
77,112,SBST,1,FEEDER,64009,64009,11,Oct-14,11,Dec-15,Hougang St 92
78,112A,SBST,1,FEEDER,64009,63031,0,-,0,15-15,
79,113,SBST,1,FEEDER,64009,64009,14,Nov-18,17,Nov-17,Upp Paya Lebar Rd
80,113A,SBST,1,FEEDER,63039,63031,0,-,18,-,Upp Paya Lebar Rd
81,115,SBST,1,FEEDER,63221,63221,31,29-50,32,-,Hougang Ave 3
82,116,SBST,1,FEEDER,64009,64009,9,Oct-14,10,Oct-14,S'goon Ctrl
83,117,SBST,1,FEEDER,65009,58009,12,Dec-15,13,14-15,
84,117,SBST,2,FEEDER,58009,65009,12,13-15,14,14-15,
85,117A,SBST,1,FEEDER,59479,59041,13,-,0,-,
86,117B,SBST,1,FEEDER,58009,59073,0,-,0,-,
87,120,SBST,1,FEEDER,10499,10499,11,Dec-15,17,Dec-16,Telok Blangah Hts
88,121,SBST,1,FEEDER,10499,10499,9,Oct-13,16,10-Dec,Telok Blangah Rise
89,122,SBST,1,FEEDER,10499,10499,12,Dec-16,15,13-17,C'wealth Dr
90,123,SBST,1,FEEDER,10009,14539,11,Dec-15,14,14-16,
91,123,SBST,2,FEEDER,14539,10009,11,Nov-15,13,14-15,
92,123M,SBST,1,FEEDER,14009,14009,11,Oct-20,13,14-15,Tiong Bahru Rd
93,124,SBST,1,FEEDER,52499,14009,7,6-Oct,7,6-Oct,
94,124,SBST,2,FEEDER,14009,52499,7,5-Oct,7,7-Nov,
95,125,SBST,1,FEEDER,52499,52499,11,Sep-18,13,15-18,Sims Dr
96,125A,SBST,1,FEEDER,81081,60219,10,-,0,-,
97,127,SBST,1,FEEDER,75009,75009,9,15-20,12,Oct-20,Tampines Ind Ave 5
98,127A,SBST,1,FEEDER,75009,75281,0,-,0,19-19,
99,128,SBST,1,FEEDER,55009,3239,15,-,0,-,
100,128,SBST,2,FEEDER,3239,55009,0,-,15,-,
101,129,SBST,1,FEEDER,75019,52499,12,15-15,13,Dec-15,
102,129,SBST,2,FEEDER,52499,75019,12,15-15,13,Dec-15,
103,13,SBST,1,FEEDER,55509,94009,10,Aug-13,12,13-17,
104,13,SBST,2,FEEDER,94009,55509,11,Aug-14,9,Nov-19,
105,130,SBST,1,FEEDER,54009,3239,8,Oct-14,13,14-16,
106,130,SBST,2,FEEDER,3239,54009,13,Oct-14,12,13-15,
107,130A,SBST,1,FEEDER,54009,53189,15,Oct-42,0,-,
108,131,SBST,1,FEEDER,52499,10009,9,Sep-14,9,Oct-14,
109,131,SBST,2,FEEDER,10009,52499,9,Sep-14,9,Oct-13,
110,131A,SBST,1,FEEDER,52499,3217,21,-,0,-,
111,131M,SBST,1,FEEDER,10009,10009,30,29-29,28,33-33,Bt Purmei Ave
112,132,SBST,1,FEEDER,64009,10009,12,Aug-19,16,13-19,
113,132,SBST,2,FEEDER,10009,64009,13,Oct-19,10,15-16,
114,133,SBST,1,FEEDER,54009,3239,8,9-Dec,10,10-Dec,
115,133,SBST,2,FEEDER,3239,54009,11,8-Nov,8,10-Nov,
116,134,SBST,1,FEEDER,80289,80289,9,10-Dec,12,11-Dec,Marine Terr
117,135,SBST,1,FEEDER,54009,54009,10,Sep-14,14,Dec-15,Siglap Rd
118,135A,SBST,1,FEEDER,54009,93201,0,-,0,14-14,Siglap Rd
119,137,SBST,1,FEEDER,80289,94009,15,15-15,15,15-15,
120,137,SBST,2,FEEDER,94009,80289,15,15-15,15,15-15,
121,137A,SBST,1,FEEDER,84031,84451,17,-,0,-,
122,138,SBST,1,FEEDER,54009,54009,10,8-Nov,9,8-Dec,Mandai Lake Rd
123,138A,SBST,1,FEEDER,54009,48131,0,13-14,0,-,Mandai Lake Rd
124,138B,SBST,1,FEEDER,54009,55121,0,-,22,14-24,
125,139,SBST,1,FEEDER,52009,10009,8,Oct-15,11,13-17,
126,139,SBST,2,FEEDER,10009,52009,11,Sep-16,11,Dec-17,
127,139M,SBST,1,FEEDER,52009,52009,14,Dec-20,15,Dec-18,Jln Bahagia
128,13A,SBST,1,FEEDER,54019,53231,14,Nov-19,0,-,
129,14,SBST,1,FEEDER,84009,17009,10,Jul-16,14,Oct-19,
130,14,SBST,2,FEEDER,17009,84009,13,Sep-16,11,13-17,
131,140,SBST,1,FEEDER,80009,80009,14,14-15,14,14-15,St. Wilfred Rd
132,141,SBST,1,FEEDER,80009,52009,12,13-15,14,13-15,
133,141,SBST,2,FEEDER,52009,80009,11,Dec-15,13,13-15,
134,142,SBST,1,FEEDER,52009,52009,8,7-Oct,8,8-Nov,Potong Pasir Ave 1
135,142A,SBST,1,FEEDER,52009,60209,0,-,0,-,Potong Pasir Ave 1
136,145,SBST,1,FEEDER,52009,11379,7,Jun-14,10,Nov-14,
137,145,SBST,2,FEEDER,11379,52009,8,6-Nov,8,Dec-14,
138,145A,SBST,1,FEEDER,10209,14249,16,Dec-26,0,-,
139,147,SBST,1,FEEDER,64009,17009,8,Jun-18,11,Jul-13,
140,147,SBST,2,FEEDER,17009,64009,8,Aug-14,8,9-Nov,
141,147A,SBST,1,FEEDER,64009,5019,20,15-51,0,-,
142,147e,SBST,1,FEEDER,4239,17009,20,20-30,25,20-30,
143,147e,SBST,2,FEEDER,17009,4222,25,20-30,20,20-30,
144,14A,SBST,1,FEEDER,84009,9059,18,14-24,0,-,
145,14e,SBST,1,FEEDER,84211,9048,12,-,0,-,
146,14e,SBST,2,FEEDER,9048,84219,0,-,12,-,
147,150,SBST,1,FEEDER,82009,82009,12,13-15,12,14-15,Marine Terr
148,151,SBST,1,FEEDER,64009,16009,9,Jun-15,9,14-17,
149,151,SBST,2,FEEDER,16009,64009,10,Jul-17,8,Oct-20,
150,151e,SBST,1,FEEDER,64009,16009,15,-,0,-,
151,151e,SBST,2,FEEDER,16009,64009,0,-,15,-,
152,153,SBST,1,FEEDER,10009,64009,11,Oct-16,10,15-16,
153,153,SBST,2,FEEDER,64009,10009,11,Aug-15,13,15-19,
